Keyword,Track.Name,Artist.Name,Genre,Beats.Per.Minute,Energy,Danceability,Loudness..dB..,Liveness,Valence.,Length.,Acousticness..,Speechiness.,Popularity,Type
a,Old Town Road - Remix,Lil Nas X,country rap,136,62,88,-6,11,64,157,5,10,87,stop
a,bad guy,Billie Eilish,electropop,135,43,70,-11,10,56,194,33,38,95,stop
a,bad guy,Billie Eilish,electropop,135,43,70,-11,10,56,194,33,38,95,stop
a,bad guy,Billie Eilish,electropop,135,43,70,-11,10,56,194,33,38,95,stop
a,bad guy,Billie Eilish,electropop,135,43,70,-11,10,56,194,33,38,95,stop
a,bad guy,Billie Eilish,electropop,135,43,70,-11,10,56,194,33,38,95,stop
a,Callaita,Bad Bunny,reggaeton,176,62,61,-5,24,24,251,60,31,93,stop
a,Callaita,Bad Bunny,reggaeton,176,62,61,-5,24,24,251,60,31,93,stop
a,Callaita,Bad Bunny,reggaeton,176,62,61,-5,24,24,251,60,31,93,stop
a,Callaita,Bad Bunny,reggaeton,176,62,61,-5,24,24,251,60,31,93,stop
A,Loco Contigo feat. J. Balvin & Tyga,DJ Snake,dance pop,96,71,82,-4,15,38,185,28,7,86,stop
a,Loco Contigo feat. J. Balvin & Tyga,DJ Snake,dance pop,96,71,82,-4,15,38,185,28,7,86,stop
a,Loco Contigo feat. J. Balvin & Tyga,DJ Snake,dance pop,96,71,82,-4,15,38,185,28,7,86,stop
